Obra,,,,,,,,,,,,,,,,,,,,O_Tipo de Obra ,O_Origen de Fondos,O_Empresa contratada,O_Referente Empresa contratada,O_Contraparte_IM,O_Referente_IM,O_Cantidad de personal en obra.,O_Contrato / licitación,O_Resolución,O_Expediente,O_Plazo previsto,O_Monto oferta ,O_Fecha oferta,O_Fecha_inicio Acta,O_Fecha_fin,O_Fecha de recepción provisoria,O_Fecha de recepción definitiva,O_Estado de la obra,O_% Avance del cuatrimestre en monto,O_Colectores_saneamiento_acumulado_m,O_% Avance m saneamiento acumulado /m totales,O_Colectores_pluviales_acumulado_m,O_% Avance m pluviales acumulado /m totales,O_Conexiones_acumulado_u,O_% Avance conexiones/ totales,O_Cámaras_acumulado_u,O_% Avance cámaras/ totales,O_Camaras 1_acumulado_u,O_% Avance cámaras 1 / totales,O_Impulsión_acumulado_m,O_% Avance Impulsión m/ m totales,O_Bocas de tormenta_ acumulado_u,O_% Avance Bocas Tormenta/ totales,O_Reguera_acumulado_u,O_Elementos SUDS_acumulado_u,O_Pozo de Bombeo % avance,O_Laminación_enterrada_% avance,O_Laminación_abierta_% avance,O_Reparaciones Boca de Tormenta acumulado,O_Reparaciones colector roto acumulado,O_Reparaciones conexión nueva acumulado,O_Reparaciones conexión rota acumulado,O_Reparaciones registro roto acumulado,O_Desobstrucción  colector acumulado,O_Desobstrucción  conexión acumulado,O_% Avance reparaciones ingreso /egresos ,O_% Avance desobstrucciones ingreso /egresos ,O_Comentarios
,P_No registro ,P_ Contrato/grupo,P_No_proyecto,P_Nombre del proyecto,P_Ubicación,P_Sistema ,P_Tipo de proyecto,P_ Mixto _Separativo_Unitario,P_Expediente ,P_Origen del proyecto,P_Realizador,P_Referente Realizador,P_Contraparte,P_Referente Contraparte,P_Costo de oficina,P_Fecha costo de oficina,P_Servicio de la  Division Saneamiento,P_Unidad ,P_Comentarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colector provisorio Guadalupe,,,,,,,,,,,,,,,,,,,,Nueva,Propietario,Insipio S.R.L,Arq. Andrea Barboza,SOS,Ing Emilio Coitinio,,,1034/20,2019-9073-98-000115,,100000,30/12/2019,20/10/2021,,08/12/2021,28/04/2022,Finalizada,,,,,,,,,,,,,,1u,100%,,,,,,,,,,,,,,,
Canalización Especial de desague Vindelux,,,,,,,,,,,,,,,,,,,,Nueva,Propietario,Gofinal S.A,Ing. Edeneo Monzón,SOS,Ing. Emilio Coitinio,,,3883/21,2021-9073-98-000019,,1820000,20/08/2021,07/12/2021,,06/04/2022,12/07/2022,Finalizada,,,,,,1u,100%,1u,100%,,,558m,100%,,,,,,,,,,,,,,,,,
PIAI La Juventud 14,,,,,,,,,,,,,,,,,,,,Nueva,,CIEMSA,,PIAI,,,,,,,"9402467,22",01/11/2022,04/11/2019,,25/02/2021,,Finalizada,,366m,100%,146m,100%,77u,100%,,,,,,,6u,100%,,,,,,,,,,,,,,,
PIAI Campichuel,,,,,,,,,,,,,,,,,,,,Nueva,,CIEMSA,,PIAI,,,,,,,,,,,,,En Ejecución,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colector Provisorio A.N.E.P. Calle Publica S/N y Santin Carlos Rossi,,,,,,,,,,,,,,,,,,,,Nueva,Propietario,LEJACIR,Ing. Leonardo Genta,SOS,Ing. Thomas Silberberg,,,5409/17,2017-8634-98-000016,,740000,01/06/2017,01/02/2018,,10/04/2018,,Finalizada,,120m,100%,,,,,1u,100%,,,,,,,,,,,,,,,,,,,,,
Colector Provisorio El Quijote (Datylco),,,,,,,,,,,,,,,,,,,,Nueva,Propietario,CIEMSA,Ing. Julian Castro,SOS,Ing. Emilio Coitinio,,,1355/22,2021-9073-98-000098 ,,1179211,01/12/2021,04/04/2022,,17/05/2022,,Finalizada,,53m,100%,,,5u,100%,,,,,,,,,,,,,,,,,,,,,,,
CED - Electroquimica,,,,,,,,,,,,,,,,,,,,Nueva,Propietario,LEJACIR,Ing. Leonardo Genta,SOS,Ing. Lucas Rodriguez,,,2250/22,2021-9073-98-000051,,3813314,30/12/2021,27/06/2022,,31/08/2022,01/12/2022,Finalizada,,16m,100%,,,1u,100%,,,,,1273m,100%,,,,,,,,,,,,,,,,,
Colector Provisorio Carrasco District,,,,,,,,,,,,,,,,,,,,Nueva,Propitario,CIEMSA,Ing. Diego Araujo,SOS,Ing. Lucas Rodriguez,,,3575/22,2020-9073-98-000013,,9200000,08/08/2022,31/08/2022,,,,En Ejecución,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortet esquina Padrón,,,,,,,,,,,,,,,,,,,,Nueva,,LEJACIR,Ing. Leonardo Genta,Tierras y Habitat,,,,,,,,,17/06/2022,,,,En Ejecución,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repavimentación Calle Fiol de Pereda,,,,,,,,,,,,,,,,,,,,Nueva,,GRINOR,,Vialidad,,,,,,,650025,01/11/2022,01/12/2019,01/12/2019,,,Finalizada,,,,,,,,,,,,,,5u,100%,,,,,,,,,,,,,,,
